Время[c], Напряжение[B]
0.0000,2.3725
0.0507,2.3775
0.1013,2.3775
0.1519,2.3674
0.2026,2.3725
0.2532,2.3775
0.3039,2.3725
0.3545,2.3725
0.4052,2.3775
0.4558,2.3725
0.5065,2.3674
0.5571,2.3775
0.6083,2.3674
0.6590,2.3674
0.7096,2.3725
0.7602,2.3725
0.8109,2.3674
0.8615,2.3725
0.9121,2.3674
0.9627,2.3674
1.0134,2.3674
1.0642,2.3674
1.1149,2.3674
1.1656,2.3725
1.2165,2.3674
1.2672,2.3674
1.3179,2.3775
1.3687,2.3725
1.4194,2.3775
1.4701,2.3725
1.5208,2.3674
1.5715,2.3775
1.6222,2.3725
1.6728,2.3725
1.7235,2.3725
1.7742,2.3674
1.8248,2.3775
1.8756,2.3775
1.9263,2.3674
1.9769,2.3674
2.0275,2.3674
2.0782,2.3674
2.1289,2.3725
2.1796,2.3674
2.2303,2.3674
2.2810,2.3725
2.3318,2.3725
2.3825,2.3674
2.4332,2.3674
2.4839,2.3674
2.5346,2.3725
2.5853,2.3725
2.6360,2.3725
2.6868,2.3674
2.7376,2.3674
2.7883,2.3674
2.8391,2.3674
2.8897,2.3674
2.9404,2.3775
2.9912,2.3674
3.0419,2.3674
3.0925,2.3725
3.1432,2.3674
3.1940,2.3674
3.2447,2.3725
3.2954,2.3674
3.3460,2.3674
3.3967,2.3725
3.4474,2.3674
3.4981,2.3725
3.5488,2.3674
3.5995,2.3725
3.6503,2.3725
3.7011,2.3725
3.7518,2.3624
3.8025,2.3624
3.8533,2.3725
3.9040,2.3725
3.9547,2.3624
4.0054,2.3624
4.0561,2.3674
4.1068,2.3624
4.1575,2.3624
4.2083,2.3674
4.2590,2.3725
4.3097,2.3674
4.3604,2.3674
4.4111,2.3674
4.4618,2.3674
4.5124,2.3674
4.5631,2.3674
4.6138,2.3674
4.6645,2.3674
4.7152,2.3674
4.7660,2.3725
4.8167,2.3674
4.8675,2.3725
4.9181,2.3674
4.9688,2.3725
5.0195,2.3725
5.0702,2.3725
5.1209,2.3725
5.1716,2.3725
5.2222,2.3725
5.2730,2.3725
5.3236,2.3725
5.3745,2.3674
5.4252,2.3674
5.4759,2.3725
5.5266,2.3725
5.5773,2.3674
5.6280,2.3674
5.6788,2.3674
5.7295,2.3725
5.7802,2.3775
5.8308,2.3725
5.8815,2.3725
5.9322,2.3725
5.9828,2.3725
6.0335,2.3775
6.0842,2.3725
6.1349,2.3725
6.1866,2.3725
6.2373,2.3674
6.2879,2.3725
6.3385,2.3674
6.3892,2.3674
6.4398,2.3725
6.4906,2.3826
6.5413,2.3775
6.5920,2.3725
6.6427,2.3725
6.6934,2.3775
6.7440,2.3725
6.7947,2.3725
6.8453,2.3725
6.8960,2.3725
6.9466,2.3725
6.9974,2.3725
7.0480,2.3725
7.0987,2.3725
7.1494,2.3775
7.2001,2.3624
7.2508,2.3674
7.3014,2.3674
7.3521,2.3674
7.4028,2.3674
7.4534,2.3725
7.5041,2.3725
7.5548,2.3624
7.6055,2.3674
7.6562,2.3674
7.7068,2.3624
7.7575,2.3674
7.8082,2.3674
7.8588,2.3725
7.9095,2.3725
7.9602,2.3725
8.0108,2.3674
8.0614,2.3674
8.1121,2.3775
8.1628,2.3725
8.2135,2.3725
8.2641,2.3725
8.3148,2.3725
8.3655,2.3624
8.4161,2.3674
8.4668,2.3674
8.5176,2.3674
8.5682,2.3826
8.6190,2.3725
8.6697,2.3674
8.7204,2.3674
8.7712,2.3674
8.8219,2.3725
8.8726,2.3624
8.9233,2.3674
8.9740,2.3674
9.0248,2.3674
9.0755,2.3674
9.1262,2.3725
9.1769,2.3674
9.2277,2.3624
9.2784,2.3725
9.3291,2.3674
9.3798,2.3674
9.4305,2.3624
9.4811,2.3674
9.5318,2.3624
9.5825,2.3674
9.6332,2.3725
9.6840,2.3674
9.7347,2.3674
9.7854,2.3725
9.8362,2.3674
9.8868,2.3674
9.9375,2.3674
9.9882,2.3674
