Время[c], Напряжение[B]
0.0000,2.7873
0.0507,2.7873
0.1013,2.7822
0.1519,2.7772
0.2025,2.7923
0.2531,2.7822
0.3037,2.7772
0.3543,2.7822
0.4049,2.7822
0.4556,2.7772
0.5062,2.7772
0.5568,2.7822
0.6075,2.7822
0.6581,2.7772
0.7087,2.7873
0.7593,2.7721
0.8100,2.7822
0.8607,2.7721
0.9114,2.7822
0.9621,2.7772
1.0128,2.7822
1.0636,2.7822
1.1143,2.7822
1.1650,2.7772
1.2157,2.7772
1.2664,2.7772
1.3171,2.7822
1.3678,2.7822
1.4185,2.7822
1.4693,2.7772
1.5200,2.7822
1.5707,2.7822
1.6214,2.7822
1.6721,2.7822
1.7228,2.7873
1.7736,2.7822
1.8242,2.7822
1.8750,2.7873
1.9257,2.7772
1.9764,2.7822
2.0270,2.7772
2.0777,2.7822
2.1284,2.7822
2.1791,2.7923
2.2298,2.7822
2.2805,2.7822
2.3312,2.7822
2.3819,2.7822
2.4326,2.7873
2.4833,2.7822
2.5340,2.7822
2.5847,2.7822
2.6353,2.7772
2.6860,2.7772
2.7367,2.7822
2.7874,2.7822
2.8381,2.7822
2.8889,2.7822
2.9395,2.7772
2.9903,2.7772
3.0409,2.7772
3.0916,2.7822
3.1423,2.7721
3.1930,2.7772
3.2437,2.7721
3.2943,2.7721
3.3450,2.7772
3.3957,2.7772
3.4464,2.7772
3.4972,2.7822
3.5478,2.7772
3.5985,2.7772
3.6492,2.7822
3.6999,2.7772
3.7506,2.7822
3.8013,2.7772
3.8520,2.7822
3.9028,2.7772
3.9535,2.7873
4.0043,2.7822
4.0550,2.7822
4.1056,2.7822
4.1562,2.7822
4.2068,2.7822
4.2574,2.7822
4.3080,2.7873
4.3586,2.7873
4.4092,2.7873
4.4599,2.7873
4.5105,2.7873
4.5611,2.7923
4.6117,2.7923
4.6623,2.7772
4.7130,2.7822
4.7636,2.7873
4.8143,2.7822
4.8650,2.7772
4.9157,2.7822
4.9664,2.7873
5.0171,2.7822
5.0678,2.7923
5.1186,2.7873
5.1693,2.7873
5.2199,2.7974
5.2707,2.7822
5.3214,2.7772
5.3721,2.7873
5.4228,2.7873
5.4735,2.7873
5.5242,2.7873
5.5748,2.7822
5.6255,2.7772
5.6762,2.7822
5.7269,2.7923
5.7776,2.7772
5.8283,2.7772
5.8790,2.7873
5.9297,2.7822
5.9804,2.7772
6.0312,2.7822
6.0818,2.7822
6.1326,2.7822
6.1832,2.7772
6.2339,2.7822
6.2846,2.7822
6.3353,2.7772
6.3859,2.7822
6.4367,2.7822
6.4874,2.7822
6.5382,2.7822
6.5889,2.7822
6.6396,2.7772
6.6903,2.7772
6.7410,2.7822
6.7916,2.7822
6.8423,2.7822
6.8930,2.7873
6.9438,2.7822
6.9945,2.7822
7.0452,2.7873
7.0959,2.7873
7.1466,2.7822
7.1972,2.7873
7.2479,2.7873
7.2985,2.7873
7.3492,2.7873
7.3999,2.7923
7.4505,2.7873
7.5012,2.7873
7.5519,2.7822
7.6025,2.7873
7.6532,2.7873
7.7038,2.7822
7.7545,2.7974
7.8052,2.7974
7.8559,2.7873
7.9066,2.7873
7.9572,2.7822
8.0079,2.7873
8.0586,2.7873
8.1092,2.7873
8.1598,2.7822
8.2105,2.7923
8.2611,2.7822
8.3118,2.7873
8.3625,2.7873
8.4131,2.7873
8.4638,2.7822
8.5144,2.7822
8.5651,2.7923
8.6158,2.7822
8.6664,2.7822
8.7170,2.7873
8.7677,2.7873
8.8183,2.7772
8.8690,2.7873
8.9197,2.7822
8.9703,2.7822
9.0209,2.7772
9.0716,2.7822
9.1222,2.7822
9.1729,2.7822
9.2235,2.7822
9.2742,2.7822
9.3249,2.7822
9.3755,2.7873
9.4262,2.7822
9.4769,2.7822
9.5275,2.7822
9.5782,2.7873
9.6289,2.7822
9.6796,2.7772
9.7302,2.7822
9.7809,2.7772
9.8316,2.7822
9.8823,2.7772
9.9330,2.7772
9.9837,2.7822
