Время[c], Напряжение[B]
0.0000,1.2950
0.0507,1.3001
0.1013,1.3001
0.1519,1.3001
0.2025,1.3001
0.2531,1.3001
0.3037,1.3001
0.3543,1.3001
0.4049,1.3001
0.4555,1.3001
0.5062,1.3001
0.5569,1.3001
0.6075,1.3001
0.6581,1.3001
0.7088,1.3051
0.7595,1.2950
0.8102,1.3051
0.8609,1.3001
0.9115,1.3001
0.9622,1.3001
1.0137,1.3001
1.0644,1.2950
1.1151,1.2950
1.1658,1.2950
1.2164,1.3001
1.2672,1.2950
1.3179,1.3001
1.3686,1.3001
1.4193,1.2950
1.4700,1.3001
1.5208,1.3001
1.5715,1.3001
1.6222,1.3001
1.6729,1.3001
1.7237,1.3001
1.7744,1.3001
1.8251,1.2950
1.8758,1.3001
1.9265,1.3001
1.9772,1.3001
2.0279,1.3001
2.0786,1.3001
2.1293,1.3001
2.1800,1.3001
2.2307,1.3001
2.2814,1.3001
2.3321,1.3001
2.3828,1.3001
2.4335,1.3001
2.4843,1.2950
2.5350,1.3001
2.5858,1.2950
2.6365,1.2950
2.6872,1.3001
2.7379,1.3001
2.7885,1.3051
2.8393,1.3001
2.8900,1.3001
2.9407,1.3001
2.9914,1.3001
3.0421,1.3051
3.0928,1.3051
3.1435,1.3001
3.1941,1.2950
3.2447,1.3001
3.2953,1.2950
3.3459,1.2950
3.3966,1.3051
3.4473,1.3051
3.4980,1.2950
3.5486,1.3001
3.5992,1.3001
3.6498,1.3001
3.7004,1.3001
3.7511,1.2950
3.8018,1.2950
3.8524,1.3001
3.9032,1.3001
3.9539,1.3051
4.0046,1.3001
4.0553,1.2950
4.1060,1.2950
4.1567,1.2950
4.2074,1.2950
4.2581,1.2950
4.3088,1.2950
4.3595,1.3001
4.4102,1.3001
4.4610,1.3001
4.5118,1.3001
4.5625,1.3001
4.6132,1.2950
4.6638,1.2950
4.7144,1.2950
4.7651,1.2950
4.8157,1.3051
4.8663,1.3001
4.9169,1.3001
4.9675,1.3001
5.0181,1.3001
5.0688,1.3001
5.1194,1.3001
5.1700,1.3001
5.2206,1.3001
5.2713,1.3001
5.3220,1.2950
5.3726,1.2950
5.4233,1.2950
5.4740,1.2899
5.5248,1.3001
5.5755,1.3001
5.6262,1.2950
5.6769,1.2950
5.7276,1.3001
5.7783,1.2950
5.8290,1.3001
5.8797,1.2950
5.9303,1.3001
5.9810,1.2950
6.0318,1.2950
6.0825,1.2950
6.1332,1.3001
6.1839,1.3001
6.2346,1.2950
6.2853,1.2950
6.3360,1.2950
6.3866,1.2950
6.4374,1.2950
6.4881,1.2950
6.5388,1.2950
6.5895,1.3001
6.6403,1.2950
6.6909,1.2950
6.7417,1.2950
6.7923,1.3001
6.8430,1.2950
6.8937,1.2950
6.9444,1.3001
6.9951,1.3001
7.0459,1.3001
7.0966,1.2950
7.1473,1.3051
7.1980,1.2950
7.2487,1.2950
7.2993,1.3001
7.3500,1.2950
7.4007,1.3001
7.4515,1.3001
7.5022,1.2950
7.5530,1.3001
7.6038,1.3001
7.6545,1.3001
7.7052,1.3001
7.7559,1.2950
7.8065,1.3001
7.8572,1.3001
7.9078,1.3001
7.9585,1.3001
8.0092,1.3051
8.0599,1.3001
8.1105,1.3001
8.1613,1.3001
8.2119,1.3001
8.2626,1.3051
8.3133,1.3001
8.3640,1.2950
8.4146,1.3001
8.4653,1.3001
8.5160,1.3001
8.5668,1.3051
8.6174,1.3051
8.6681,1.3001
8.7188,1.2950
8.7695,1.3001
8.8201,1.3051
8.8708,1.3051
8.9215,1.3001
8.9722,1.2950
9.0229,1.2950
9.0736,1.3001
9.1242,1.3001
9.1749,1.3001
9.2255,1.3001
9.2762,1.3001
9.3269,1.3001
9.3776,1.2950
9.4282,1.3001
9.4790,1.3001
9.5296,1.3001
9.5804,1.3001
9.6310,1.3001
9.6817,1.2899
9.7324,1.3001
9.7830,1.3001
9.8336,1.3001
9.8843,1.3001
9.9349,1.2950
9.9856,1.3001
